h3_cell,risk_debiased,exposure,severity_score,peak_dow,blindspot_flag,lat,lon,poi_demand,police_station,is_treated,deterrence_effect,violation_count
8960144a2cbffff,0.0027293163985714,1,1.0,2,0,13.071861890286916,77.44099948846512,0.0,No Police Station,0,0.0,1
8960144a2dbffff,0.0027293163985714,1,1.0,2,1,13.069720916354912,77.44336836828691,0.0,No Police Station,0,0.0,4
8960144a64bffff,0.0037893232850307,1,3.6666666666666665,6,1,13.064358260541509,77.45349758197017,0.0,No Police Station,0,0.0,3
8960144b4dbffff,0.0043802883282526,1,1.0,1,1,13.084573786211385,77.48569027892208,0.0,Chikkabanavara,0,0.0,19
8960144b5a3ffff,0.0001978545173961,12,1.0,3,0,13.06864073307749,77.44875953257177,0.0,No Police Station,0,0.0,14
8960144b5afffff,0.0002340381992782,4,1.0,3,0,13.070781839738174,77.44639055381762,0.0,No Police Station,0,0.0,3
8960144b5b3ffff,0.0003011853557973,4,1.0,3,0,13.06649954000792,77.45112854195844,0.0,No Police Station,0,0.0,3
89601451097ffff,0.0051308182684987,1,1.0,6,0,12.878297949625283,77.51655247138666,0.0,Thalagattapura,0,0.0,1
896014511cbffff,0.0030338360641343,1,1.0,2,0,12.88476484667875,77.50103200852485,0.0,Thalagattapura,0,0.0,1
89601451207ffff,0.0011888883245939,4,1.0,1,0,12.910360734992675,77.51467866587252,0.0,Kengeri,0,0.0,26
8960145120fffff,0.0008889737659,4,2.5,6,0,12.913563998359017,77.51533283412459,0.0,Kengeri,0,0.0,2
89601451233ffff,0.0051308182684987,1,1.0,6,1,12.909302670040107,77.51165548452427,0.0,Kengeri,0,0.0,5
8960145123bffff,0.0044651509540506,1,4.0,6,1,12.912505887439655,77.5123095967593,0.0,Kengeri,0,0.0,3
89601451257ffff,0.0001582788848056,21,2.107142857142857,1,0,12.9156802192515,77.52137968085202,0.0,Kengeri,0,0.0,13
89601451263ffff,0.0003967596328556,9,2.333333333333333,5,0,12.91891234183084,77.5136178765356,0.0,Kengeri,0,0.0,5
8960145126bffff,0.0040543922716912,1,1.0,2,1,12.922115578779955,77.51427204407814,0.0,Kengeri,0,0.0,3
89601451287ffff,0.002703952407149,1,1.0,5,0,12.902866837437374,77.51876267032858,0.0,Kengeri,0,0.0,1
896014512a3ffff,0.0011297796033708,2,1.0,2,0,12.903954227927082,77.5133703846751,0.0,Kengeri,0,0.0,3
