violation,count
WRONG PARKING,164851
NO PARKING,138855
PARKING IN A MAIN ROAD,23939
DEFECTIVE NUMBER PLATE,7843
PARKING ON FOOTPATH,3756
PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC,2402
DOUBLE PARKING,2036
PARKING NEAR ROAD CROSSING,1687
REFUSE TO GO FOR HIRE,887
PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS,525
PARKING OPPOSITE TO ANOTHER PARKED VEHICLE,486
USING BLACK FILM/OTHER MATERIALS,248
PARKING OTHER THAN BUS STOP,242
DEMANDING EXCESS FARE,240
WITHOUT SIDE MIRROR,47
H T V PROHIBITED,31
OBSTRUCTING DRIVER,16
AGAINST ONE WAY/NO ENTRY,9
FAIL TO USE SAFETY BELTS,8
VIOLATING LANE DISIPLINE,5
